model,weekly_WAPE,cost_point_policy,point_factor,cost_LP_policy,fill_rate_LP,revenue_LP,rule_of_thumb_cost,perfect_foresight_cost
SeasonalNaive,0.3928534408701393,99106.93674381002,1.2,88624.9886227974,0.8089131777552164,1494360.2449230156,91350.51862417578,597.4725017827772
MovingAvg28,0.3691092006841163,91350.51875298723,1.2,80271.05425376966,0.8258780022861036,1519228.6499923377,91350.51862417578,597.4725017827772
Croston,0.3984570303731895,94466.23749039296,1.1,82573.44414678954,0.8134345336561329,1516255.7562071788,91350.51862417578,597.4725017827772
IMAPA,0.3777423801809695,91547.93538110216,1.1,81382.13404162019,0.816201855151898,1517866.9443333223,91350.51862417578,597.4725017827772
AutoETS,0.3857906967896051,93862.77579166762,1.1,84094.339296966,0.8141858950238194,1509277.8928774328,91350.51862417578,597.4725017827772
LightGBM,0.3747242871310514,91683.69518141689,1.2,80869.07856975112,0.8260400352145174,1517422.0160861155,91350.51862417578,597.4725017827772
Ensemble,0.3546058219907761,85727.09556979252,1.2,75740.0972620883,0.8321319869933475,1534208.9627471787,91350.51862417578,597.4725017827772
WeeklyLightGBM,0.3468876561270779,84787.48280445524,1.2,75085.50248132824,0.8333114248390142,1536987.0888971938,91350.51862417578,597.4725017827772
WeeklyLightGBM (learned quantiles),0.3468876561270779,,1.2,71199.73247489068,0.8341549767815721,1549976.7557069184,91350.51862417578,597.4725017827772
