model,WAPE,RMSSE,WRMSSE,Bias,fit_predict_seconds
Ensemble,0.6287318841733261,0.7894107068470353,0.8659234411097131,-0.018804328605182084,474.8050341000086
LightGBM,0.6436515529533899,0.8016497659037599,0.8880644896531195,-0.038293862750298925,122.7945341000086
AutoETS,0.6540712714195251,0.8046310146649679,0.9045023520787557,0.0006852069248755773,352.0105
MovingAvg28,0.657971719900767,0.8102113405863444,0.9230120579401652,-0.02096094066898028,5.3875
Croston,0.69090469678243,0.8289202849070231,0.9282623132069906,0.05314992616573969,8.3082
IMAPA,0.6658636728922526,0.8122124473253886,0.9365084966023763,0.03855104433993498,8.8788
SeasonalNaive,0.7727460861206055,1.0412147045135498,1.1262372732162476,-0.0014193480213483174,6.0307
