,coverage
q05,0.11374683544303797
q15,0.19655696202531645
q25,0.2919493670886076
q35,0.382253164556962
q45,0.47027848101265823
q55,0.5571139240506329
q65,0.646126582278481
q75,0.7409367088607595
q85,0.83
q95,0.9331139240506329
