config,extra_features,rounds,seconds,WAPE,RMSSE,WRMSSE,Bias
base,False,70,53.25397399999929,0.6486165830845294,0.7782507454226631,0.8693411493173042,-0.05181373151277732
tweedie_1.2,False,67,49.3255072000029,0.6484849498345482,0.7781655715837495,0.8743890971994124,-0.05643381356736435
tweedie_1.3,False,70,49.05862889999844,0.6477011174114051,0.776866641158139,0.8743636987872475,-0.06442286273427124
poisson,False,207,89.5796399000028,0.6463090592628897,0.7749886024645276,0.8694906025704636,-0.047370287978323794
leaves_255,False,67,65.37780930000008,0.6499034735542323,0.7781379723361942,0.8670513912474536,-0.050616238341612906
leaves_63,False,123,49.48970299999928,0.640705721014284,0.7741795969669287,0.8692166586943161,-0.048618145650843894
feature_frac_0.5,False,100,39.96668250000221,0.6449039015398526,0.7753671673471804,0.8671862929687382,-0.04748210329901262
lr_0.03,False,174,46.72574840000016,0.6425985213325677,0.7738041052943643,0.8640162704741998,-0.046284355270224196
lr_0.03,True,145,44.10283850000269,0.6383478926642275,0.7721404597942491,0.8625242469019325,-0.042247899063670685
